ID,WBS #,Title,Start Date,End Date,Predecessors,1,WBS #
61,1.4.2.1,Build Wavenet,12/06/2020,12/08/2020,1.4.1.2,1.1.4.2.1,1.4.2.1
62,1.4.2.2,Train wavenet,12/08/2020,12/10/2020,1.4.2.1,1.1.4.2.2,1.4.2.2
63,1.4.2.3,Evalutate wavenet,12/10/2020,12/12/2020,1.4.2.2,1.1.4.2.3,1.4.2.3
64,1.4.3,Testing & Debug,12/12/2020,12/14/2020,,1.1.4.3,1.4.3
65,1.4.3.1,Unit testing,12/12/2020,12/14/2020,1.4.2.3,1.1.4.3.1,1.4.3.1
66,1.4.4,Review,12/14/2020,12/15/2020,,1.1.4.4,1.4.4
67,1.4.4.1,Prepare testing report,12/14/2020,12/15/2020,1.4.3.1,1.1.4.4.1,1.4.4.1
68,1.5,Sprint 4,12/15/2020,1/22/2021,,1.1.5,1.5
69,1.4.4.2,Review & Fix sprint3,12/15/2020,12/18/2020,1.4.4.1,1.1.,1
70,1.5.1,Analysis,12/18/2020,12/27/2020,,1.1.5.1,1.5.1
71,1.5.1.1,Research on app development,12/18/2020,12/23/2020,1.4.4.1,1.1.5.1.1,1.5.1.1
72,1.5.1.2,Research on deploying ML,12/23/2020,12/27/2020,1.5.1.1,1.1.5.1.2,1.5.1.2
73,1.5.2,Design,12/27/2020,12/30/2020,,1.1.5.2,1.5.2
74,1.5.2.1,Diagram modeling,12/27/2020,12/30/2020,1.5.1.2,1.1.5.2.1,1.5.2.1
75,1.5.3,Coding,12/30/2020,1/13/2021,,1.1.5.3,1.5.3
76,1.5.3.1,Build App,12/30/2020,01/06/21,1.5.2.1,1.1.5.3.1,1.5.3.1
77,1.5.3.2,Deploy ML,01/06/21,01/10/21,1.5.3.1,1.1.5.3.2,1.5.3.2
78,1.5.3.3,Intergrate App and ML,01/10/21,1/13/2021,1.5.3.2,1.1.5.3.3,1.5.3.3
79,1.5.4,Testing & Debug,1/13/2021,1/22/2021,,1.1.5.4,1.5.4
80,1.5.4.1,Unit Testing,1/13/2021,1/15/2021,1.5.3.3,1.1.5.4.1,1.5.4.1
81,1.5.4.2,Integration Testing,1/15/2021,1/17/2021,1.5.4.1,1.1.5.4.2,1.5.4.2
82,1.5.4.3,System Testing,1/17/2021,1/19/2021,1.5.4.2,1.1.5.4.3,1.5.4.3
83,1.5.4.4,User acceptance testing,1/19/2021,1/22/2021,1.5.4.3,1.1.5.4.4,1.5.4.4
